config_id,Macro_F1_mean_39,Macro_F1_mean_37,delta_mean_37_minus_39,delta_std,delta_se,delta_ci95_half,delta_ci95_low,delta_ci95_high,wilcoxon_p,n_folds_positive_delta,n_folds_negative_delta,is_exp3_winner,is_exp4_winner
euclidean_fuzzy_confidence_uniform_k1,0.581470178349193,0.6019023191552468,0.020432140806053864,0.08459808084004056,0.011963975327472082,0.024042508555713077,-0.003610367749659213,0.04447464936176694,0.07394952342184756,19,14,False,False
euclidean_fuzzy_confidence_inverse_distance_k1,0.581470178349193,0.6019023191552468,0.020432140806053864,0.08459808084004056,0.011963975327472082,0.024042508555713077,-0.003610367749659213,0.04447464936176694,0.07394952342184756,19,14,False,False
euclidean_rigid_uniform_k1,0.581470178349193,0.6019023191552468,0.020432140806053864,0.08459808084004056,0.011963975327472082,0.024042508555713077,-0.003610367749659213,0.04447464936176694,0.07394952342184756,19,14,False,False
euclidean_rigid_inverse_distance_k1,0.581470178349193,0.6019023191552468,0.020432140806053864,0.08459808084004056,0.011963975327472082,0.024042508555713077,-0.003610367749659213,0.04447464936176694,0.07394952342184756,19,14,False,False
cosine_rigid_inverse_distance_k7,0.5623764003083359,0.579565758373781,0.017189358065445023,0.09125883059953464,0.01290594759201707,0.025935472692605238,-0.008746114627160215,0.043124830758050264,0.12955504706087245,21,14,False,False
euclidean_rigid_inverse_distance_k5,0.5718865077826109,0.5879441751378148,0.01605766735520402,0.06527576006362905,0.009231386517619624,0.018551165750177116,-0.002493498394973096,0.03460883310538114,0.17361006147826274,26,13,False,False
cosine_fuzzy_confidence_uniform_k7,0.5652580940798333,0.581300134998338,0.016042040918504766,0.07267912497027784,0.0102783804234376,0.020655178776734145,-0.00461313785822938,0.03669721969523891,0.09289993661276359,24,16,False,False
cosine_fuzzy_confidence_inverse_distance_k7,0.534363914243676,0.5502479931571397,0.015884078913463773,0.09028696800158831,0.012768505465339183,0.025659272398294977,-0.009775193484831204,0.04154335131175875,0.21820972370077962,24,17,False,False
minkowski_p3_rigid_uniform_k3,0.5752244414332918,0.5888565224600559,0.013632081026764028,0.07606344337806477,0.010756995322605718,0.021616991426223503,-0.007984910399459475,0.03524907245298753,0.13924076102002342,19,18,False,False
euclidean_rigid_uniform_k5,0.5828396628308998,0.59643468684489,0.013595024013990216,0.06908859866901153,0.009770603324306786,0.01963476249233954,-0.006039738478349325,0.03322978650632975,0.18721602975979645,26,13,False,False
