representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
pca,5,uniform,cosine,0.511884266457806,0.5683333333333335,0.7281818181818186,0.31714285714285706
pca,5,distance,euclidean,0.5013171963700838,0.5477777777777778,0.6836363636363637,0.3342857142857143
pca,5,distance,cosine,0.5078120465713076,0.5599999999999999,0.7054545454545456,0.3314285714285714
pca,7,uniform,euclidean,0.4809795452534583,0.5466666666666666,0.7236363636363636,0.2685714285714285
pca,7,uniform,cosine,0.5058198117641146,0.5683333333333334,0.7436363636363637,0.29285714285714276
pca,7,distance,euclidean,0.49235689190037013,0.55,0.711818181818182,0.29571428571428565
pca,7,distance,cosine,0.5064442067041407,0.5594444444444445,0.7081818181818181,0.3257142857142857
pca,9,uniform,euclidean,0.4824954717987327,0.5516666666666667,0.7327272727272728,0.26714285714285707
pca,9,uniform,cosine,0.4748103904563425,0.5561111111111112,0.7627272727272727,0.2314285714285714
pca,9,distance,euclidean,0.5041742745575968,0.563888888888889,0.729090909090909,0.3042857142857142
pca,9,distance,cosine,0.4891244463254224,0.5533333333333333,0.7245454545454547,0.2842857142857142
pca,11,uniform,euclidean,0.461510584690084,0.5422222222222222,0.7481818181818182,0.2185714285714285
pca,11,uniform,cosine,0.4382240679889496,0.5533333333333332,0.8081818181818181,0.15285714285714286
pca,11,distance,euclidean,0.4862036377068986,0.5533333333333335,0.7363636363636362,0.2657142857142856
pca,11,distance,cosine,0.47629826219230265,0.5533333333333333,0.7518181818181818,0.24142857142857135
pca,15,uniform,euclidean,0.4178315095171918,0.54,0.8054545454545456,0.12285714285714283
pca,15,uniform,cosine,0.3921115640455611,0.5355555555555557,0.8245454545454547,0.08142857142857142
pca,15,distance,euclidean,0.4595559884837247,0.5561111111111111,0.7863636363636364,0.19428571428571423
pca,15,distance,cosine,0.45425063799823917,0.5527777777777777,0.7854545454545455,0.18714285714285708
pca,21,uniform,euclidean,0.38286278293864506,0.558888888888889,0.8863636363636364,0.04428571428571429
pca,21,uniform,cosine,0.37201444906639813,0.5516666666666666,0.8827272727272727,0.031428571428571424
pca,21,distance,euclidean,0.42088212105513456,0.5766666666666667,0.8872727272727272,0.08857142857142856
pca,21,distance,cosine,0.4316217704752578,0.5611111111111111,0.8418181818181817,0.11999999999999998
embedkit_unsup,1,uniform,euclidean,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_unsup,1,uniform,cosine,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_unsup,1,distance,euclidean,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_unsup,1,distance,cosine,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_unsup,3,uniform,euclidean,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_unsup,3,uniform,cosine,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_unsup,3,distance,euclidean,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_unsup,3,distance,cosine,0.5353610786846552,0.5777777777777778,0.7036363636363637,0.38000000000000006
embedkit_unsup,5,uniform,euclidean,0.4567162946140871,0.5194444444444445,0.6872727272727274,0.25571428571428567
embedkit_unsup,5,uniform,cosine,0.4567162946140871,0.5194444444444445,0.6872727272727274,0.25571428571428567
embedkit_unsup,5,distance,euclidean,0.4567162946140871,0.5194444444444445,0.6872727272727274,0.25571428571428567
embedkit_unsup,5,distance,cosine,0.44043197245513843,0.5055555555555555,0.6772727272727274,0.23571428571428563
embedkit_unsup,7,uniform,euclidean,0.4237071317157166,0.5066666666666667,0.7109090909090909,0.1857142857142857
