config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k5,35,1,0,7
euclidean_rigid_uniform_k5,35,1,1,4
euclidean_rigid_uniform_k5,36,0,0,4
euclidean_rigid_uniform_k5,36,0,1,3
euclidean_rigid_uniform_k5,36,1,0,2
euclidean_rigid_uniform_k5,36,1,1,9
euclidean_rigid_uniform_k5,37,0,0,2
euclidean_rigid_uniform_k5,37,0,1,5
euclidean_rigid_uniform_k5,37,1,0,1
euclidean_rigid_uniform_k5,37,1,1,10
euclidean_rigid_uniform_k5,38,0,0,3
euclidean_rigid_uniform_k5,38,0,1,4
euclidean_rigid_uniform_k5,38,1,0,4
euclidean_rigid_uniform_k5,38,1,1,7
euclidean_rigid_uniform_k5,39,0,0,4
euclidean_rigid_uniform_k5,39,0,1,3
euclidean_rigid_uniform_k5,39,1,0,3
euclidean_rigid_uniform_k5,39,1,1,8
euclidean_rigid_uniform_k5,40,0,0,4
euclidean_rigid_uniform_k5,40,0,1,3
euclidean_rigid_uniform_k5,40,1,0,3
euclidean_rigid_uniform_k5,40,1,1,8
euclidean_rigid_uniform_k5,41,0,0,6
euclidean_rigid_uniform_k5,41,0,1,1
euclidean_rigid_uniform_k5,41,1,0,4
euclidean_rigid_uniform_k5,41,1,1,7
euclidean_rigid_uniform_k5,42,0,0,6
euclidean_rigid_uniform_k5,42,0,1,1
euclidean_rigid_uniform_k5,42,1,0,4
euclidean_rigid_uniform_k5,42,1,1,7
euclidean_rigid_uniform_k5,43,0,0,3
euclidean_rigid_uniform_k5,43,0,1,4
euclidean_rigid_uniform_k5,43,1,0,3
euclidean_rigid_uniform_k5,43,1,1,8
euclidean_rigid_uniform_k5,44,0,0,2
euclidean_rigid_uniform_k5,44,0,1,5
